srad,RH,wind,prec,tmax,tmin,year,month,mday
76.25,86.66075,3.4159966,11.280029,15.67999268,12.36999512,1995,4,13
81.5,90.33744,3.459999,0.66000366,14.91000366,11.76000977,1995,4,14
74.75,96.969734,1.7219963,0.42004395,14.1499939,12.13998413,1995,4,15
68.5,84.49211,2.2339973,1.8599854,17.17999268,13.32000732,1995,4,16
56.25,88.97129,2.5319977,3.3000183,15.80999756,12.77999878,1995,4,17
66.75,92.43658,2.9959984,1.8599854,14.47000122,11.01000977,1995,4,18
300,67.36024,3.933998,0,16.57998657,8.320007324,1995,4,19
273.75,73.97895,6.0599976,4.6200256,17.45001221,11.95001221,1995,4,20
66.5,94.1352,2.3739967,5.400055,20.20001221,16.17999268,1995,4,21
129.75,92.87684,4.7359962,3.0600586,26.41000366,10.67001343,1995,4,22
292,62.215233,3.6499977,0.24005127,18.30999756,11.86999512,1995,4,23
67.25,76.96962,1.9299965,0,12.97000122,9.720001221,1995,4,24
80.25,74.83026,2.5759964,0,17.33999634,11.76998901,1995,4,25
298.75,55.871998,4.511997,0.060058594,17.69000244,12.79000854,1995,4,26
282.5,77.41739,1.7439957,0.120025635,20.8999939,13.85998535,1995,4,27
156.75,84.414635,3.1899986,1.2600403,21.79998779,14.61999512,1995,4,28
113.75,85.52057,1.7099991,1.019989,18.48001099,14.30999756,1995,4,29
77.5,89.58924,3.055996,5.2800293,17.88000488,14.3999939,1995,4,30
234.75,80.94966,2.3339958,5.1000366,22.41000366,15.79000854,1995,5,1
102,82.478806,3.1119957,10.679993,18.63000488,15.3500061,1995,5,2
284,63.728992,3.9799957,1.2600403,19.45999146,12.42999268,1995,5,3
216.75,65.87199,2.199997,0,17.51000977,12.8999939,1995,5,4
314.25,64.21134,3.0739975,0.060058594,22.38998413,13.92001343,1995,5,5
297.25,71.28959,2.459999,0,25.73001099,15.01998901,1995,5,6
302.5,70.28944,1.4199982,0,26.51998901,16.8500061,1995,5,7
307.5,69.1371,3.1699982,0.480011,28.26998901,19.41000366,1995,5,8
296.75,67.06313,5.3259964,0.66000366,29.27999878,15.17001343,1995,5,9
275,62.40669,4.1039963,0.35998535,20.01000977,12.60998535,1995,5,10
78.5,72.80237,4.7219963,4.7400513,15.91000366,13.20999146,1995,5,11
60.5,89.14887,6.069996,4.6200256,18.73001099,15.76000977,1995,5,12
104.5,82.590225,2.6359978,2.6400146,25.23001099,19.16000366,1995,5,13
79.25,79.793106,4.0319977,0.480011,19.52999878,13.47000122,1995,5,14
254.75,69.50834,3.0179977,0,20.88998413,14.45999146,1995,5,15
318.75,51.733696,3.3839989,0,25.32998657,16.95999146,1995,5,16
266.75,63.9193,5.355999,0.17999268,23.72000122,17.79998779,1995,5,17
66.5,91.34856,4.7299957,15.54007,20.67999268,17.35998535,1995,5,18
75.5,93.95757,5.095997,53.220062,22.10998535,20.55999756,1995,5,19
74.25,76.63531,4.461998,13.380066,20.26000977,18.38000488,1995,5,20
154.25,64.40754,2.6379967,0,22.16000366,16.70001221,1995,5,21
305.5,63.588207,2.1759987,0,23.29998779,18.92001343,1995,5,22
316.5,55.617504,4.121998,0,26.76998901,18.6000061,1995,5,23
77.5,77.88654,3.0459976,3.480011,22.32000732,20,1995,5,24
88.25,92.93663,1.5019989,21.480011,24.72000122,20.01000977,1995,5,25
253.75,81.080864,3.3919983,0.42004395,26.52999878,18.32000732,1995,5,26
229,78.60068,5.2319984,2.2200623,23.66000366,19.01000977,1995,5,27
90,77.63793,3.9799957,2.6999817,27.92999268,18.52999878,1995,5,28
206.75,79.67916,2.591999,0.7800293,24.73001099,18.47000122,1995,5,29
72,90.27729,3.2699966,1.440033,23.57000732,19.82998657,1995,5,30
97.25,90.24953,4.421997,5.2200623,22.51000977,20.52999878,1995,5,31
103,93.654945,3.579998,3.6000366,23.32000732,20.42999268,1995,6,1
167.25,87.137985,2.4679985,18.960022,30.07998657,21.75,1995,6,2
203.5,71.74852,3.7039986,0,28.45999146,19.35998535,1995,6,3
230.75,74.13397,2.6339989,0.83999634,25.57000732,18.77999878,1995,6,4
292,68.504456,1.5399971,0.060058594,28.17001343,21.20001221,1995,6,5
241,62.511158,4.5059967,0,26.32998657,20.86999512,1995,6,6
84.5,77.46093,4.617996,0.66000366,22.26000977,18.73999023,1995,6,7
71.5,92.197945,3.7979965,1.920044,21.01000977,19.6499939,1995,6,8
115.25,84.09894,3.1339989,1.2600403,23.30999756,18.23999023,1995,6,9
215.25,79.66812,3.4459991,0,24.76000977,20.02999878,1995,6,10
73.75,89.146065,2.9679985,1.7400513,21.45999146,20.17999268,1995,6,11
155.5,88.838875,2.777996,6.8399963,24.47000122,19.79998779,1995,6,12
161.75,72.832954,2.9839973,7.8000183,24.76998901,19.35998535,1995,6,13
215,77.85442,3.107998,1.3800659,26.02999878,21,1995,6,14
82.75,85.4103,2.9079971,3.0600586,22.72000122,20.20999146,1995,6,15
158.25,83.87406,4.199997,5.6400146,24.97000122,19.92001343,1995,6,16
80.5,93.89374,2.7719955,8.220062,23.10998535,19.52999878,1995,6,17
310,75.12181,2.4959984,0.17999268,31.1499939,24.01000977,1995,6,18
199.25,72.805786,1.817997,0.35998535,30.85998535,24.82000732,1995,6,19
137.25,90.466255,3.055996,30.120026,26.47000122,23.38998413,1995,6,20
75.5,90.78659,2.9819984,83.94003,24.51998901,21.10998535,1995,6,21
84.5,91.43736,3.237999,15.359985,21.08999634,20.19000244,1995,6,22
75.5,90.308136,2.8019981,1.3200073,22.95999146,20.3999939,1995,6,23
64,92.327385,1.7559967,10.26004,23.26000977,21.29998779,1995,6,24
101.5,84.45651,1.8259964,7.2600403,27.42001343,21.98001099,1995,6,25
126,80.01577,2.7699966,0.35998535,27.44000244,21.94000244,1995,6,26
221.5,79.150566,2.2579956,1.980011,28.82000732,23.63000488,1995,6,27
191.75,73.77536,2.055996,3.1200256,29.30999756,23.3500061,1995,6,28
313.75,76.01042,3.329998,0.960022,30.67001343,25.1499939,1995,6,29
222,74.870544,3.0479965,2.940033,29.94000244,25.70001221,1995,6,30
73.5,88.46689,2.1279984,15.960022,26.02999878,23.38000488,1995,7,1
72,90.507675,2.1779976,41.880066,23.45999146,21.95001221,1995,7,2
73.75,87.45795,1.8539963,0.24005127,24.72000122,22.04998779,1995,7,3
112.5,87.52961,2.119999,3,25.19000244,21.23999023,1995,7,4
71.25,94.44759,2.4659958,20.580048,21.26000977,20.58999634,1995,7,5
69.75,95.97181,2.0959969,42.720062,22.51000977,21.6000061,1995,7,6
83.5,90.32675,2.187996,4.380066,25.66000366,22.16000366,1995,7,7
276.25,81.30211,3.593998,0.35998535,31.3999939,26.3999939,1995,7,8
231.75,80.71915,3.1099968,1.019989,31.63000488,26.94000244,1995,7,9
298.75,75.91582,2.9699974,2.519989,33.88000488,27.79000854,1995,7,10
303.25,73.13088,4.3759956,0.7800293,32.86001587,28.26000977,1995,7,11
295,71.91091,4.331997,1.920044,32.20001221,28.07000732,1995,7,12
308.75,70.43511,4.3259964,0.5400696,33.13000488,28.26998901,1995,7,13
294,74.66653,2.9179955,0.6000366,34.07998657,28.85998535,1995,7,14
312.75,73.74108,2.3679962,0.17999268,34.66000366,29.08999634,1995,7,15
276,76.037315,1.7679977,4.380066,34.07998657,28.41000366,1995,7,16
159.75,86.01866,1.9219971,15.060059,30.23001099,25.95999146,1995,7,17
207.25,81.30043,3.4059982,1.8599854,33.29998779,27.82998657,1995,7,18
302.75,73.7254,2.0759964,2.2800293,36.04000854,29.60998535,1995,7,19
294.75,71.810005,1.9579964,4.1400146,36.8500061,30.42999268,1995,7,20
259.5,72.193146,2.197998,3.0600586,35.23999023,27.38998413,1995,7,21
191,85.85871,2.1679955,1.1999817,31.20001221,25.20001221,1995,7,22
304,76.826164,2.3759956,2.1600037,31.3999939,26.75,1995,7,23
120,93.53754,2.6799965,30,28.54998779,25.33999634,1995,7,24
286.5,73.4413,5.881996,0.83999634,31.92001343,27.82000732,1995,7,25
280.25,72.37159,5.381996,3.6000366,32.75,27.79000854,1995,7,26
264.75,78.328445,5.1659966,0.480011,31.42001343,26.55999756,1995,7,27
303.5,79.46097,5.1299973,0.7800293,31.82000732,26.3500061,1995,7,28
300,76.25717,5.553997,0,31.8500061,26.76000977,1995,7,29
304.25,73.72917,5.5579987,0.060058594,32.1000061,27.05999756,1995,7,30
303.5,74.02762,5.9019966,0.72006226,32.57998657,28.1000061,1995,7,31
304,67.901535,5.855999,0.480011,33.86001587,28.3500061,1995,8,1
278.75,69.47994,4.463997,0.42004395,33.42001343,27.82000732,1995,8,2
301,67.23055,5.885998,0.35998535,33.01998901,27.29998779,1995,8,3
296.75,72.95293,2.8639984,0.3000183,33.29998779,27.73001099,1995,8,4
270.25,74.58812,2.473999,4.5,33.70999146,28.26998901,1995,8,5
281.25,71.48254,3.409996,1.920044,34.42999268,27.94000244,1995,8,6
245,77.9192,3.645996,7.5600586,29.8999939,26.54998779,1995,8,7
304.5,76.82602,2.3679962,0.24005127,33.6000061,28.01000977,1995,8,8
163.75,82.773766,3.093998,4.2600403,29.23999023,25.97000122,1995,8,9
119,86.493126,2.2319984,4.380066,28.42001343,25.22000122,1995,8,10
280.5,77.15097,2.0439987,1.5,32.95001221,28.20001221,1995,8,11
267.75,71.50806,2.7979965,1.440033,35.97000122,28.80999756,1995,8,12
289,67.43364,4.181999,0.17999268,35.86999512,28.72000122,1995,8,13
295.5,71.06585,4.6239967,0.5400696,33.66000366,27.54998779,1995,8,14
289,70.51548,4.2039986,0.7800293,33,27.73001099,1995,8,15
289.75,73.80821,4.4539986,0.35998535,32.73001099,27.30999756,1995,8,16
283.75,72.456474,4.1939964,0.480011,33.63998413,28.22000122,1995,8,17
293,74.33826,3.923996,5.2800293,33.48001099,24.5,1995,8,18
242.25,74.36311,2.5499954,9.660004,32.48999023,26.6499939,1995,8,19
143,77.36934,2.8479958,0.66000366,30.47000122,26.30999756,1995,8,20
223.5,80.29121,2.4059982,0.83999634,32.13000488,26.32998657,1995,8,21
258.75,73.154175,2.7999954,4.440033,32.70999146,25.82000732,1995,8,22
86.25,78.81281,3.001999,10.019989,27.5,25.79998779,1995,8,23
87,90.094444,3.9279976,2.1000366,27.98999023,25.63998413,1995,8,24
159.5,92.04185,4.3879967,4.0800476,27.92999268,24.16000366,1995,8,25
73.25,90.565094,1.8159981,4.2600403,26.83999634,23.41000366,1995,8,26
244,82.1733,2.6679955,0.90005493,30.23999023,24.92001343,1995,8,27
142,86.37934,1.8799973,7.019989,31.38000488,24.51000977,1995,8,28
